Код;Наименование;Уровень1;Уровень2;Уровень3;Цена;ЦенаСП;Количество;Поля свойств;Совместные покупки;Единица измерения;Картинка;Выводить на главной;Описание,,,,,,,,,,,,,,,,,,,,,,
Б0000676;Решетка чугунная ячеистая  DN 100  31023С;Водосточная система;Аквасток;;495,00;490,"00;1;;;""шт"";;0;",,,,,,,,,,,,,,,,,,,,
Б0000101;Решетка ячеистая стальная оцинк.  DN 100 Аквасток  31031В;Водосточная система;Аквасток;;931,00;911,"40;1;;;""шт"";;0;",,,,,,,,,,,,,,,,,,,,
Б0000646;Фиксатор решетки стандартный DN 200 91201;Водосточная система;Аквасток;;95,00;93,"00;1;;;""шт"";;0;",,,,,,,,,,,,,,,,,,,,
Б0001761;Заглушка желоба универсальная с уплотнением RGT 125  (001);Водосточная система;;;123,50;120,"90;1;;;""шт"";;0;",,,,,,,,,,,,,,,,,,,,
Б0001766;Труба водосточн. SROR  87  3000 (001);Водосточная система;;;923,40;903,"96;2;;;""шт"";;0;",,,,,,,,,,,,,,,,,,,,
Б0000033;ГКЛ  9.5мм (1,2х2,5м) \Кнауф\;Гипсокартон и Комплектующие;Гипсокартон;;230,00;230,"00;0.01;;;""лист"";sd_00127;0;Применяется для устройства легких межкомнатных перегородок",подвесных потолков,облицовки стен,в зданиях и помещениях с сухим и нормальным влажностными режимами по СНиП II-3-79,а также для изготовления декоративных и звукопоглощающих изделий.,,,,,,,,,,,,,,
Б0001622;ГКЛ  9.5мм (1200х2500) 66 шт \Декоратор\;Гипсокартон и Комплектующие;Гипсокартон;;210,00;210,"00;14;;;""лист"";gstandart1300;1;Применяется для устройства легких межкомнатных перегородок",подвесных потолков,облицовки стен,в зданиях и помещениях с сухим и нормальным влажностными режимами по СНиП II-3-79,а также для изготовления декоративных и звукопоглощающих изделий.,,,,,,,,,,,,,,,,
Б0000816;ГКЛ 12.5мм (1,2х2,5м) \Волма\;Гипсокартон и Комплектующие;Гипсокартон;;209,00;204,"60;1;;;""лист"";sd_00127;0;",,,,,,,,,,,,,,,,,,
Б0000034;ГКЛ 12.5мм (1,2х2,5м) \Кнауф\;Гипсокартон и Комплектующие;Гипсокартон;;260,00;260,"00;0.01;;;""лист"";sd_00127;0;Применяется для устройства легких межкомнатных перегородок",подвесных потолков,облицовки стен,в зданиях и помещениях с сухим и нормальным влажностными режимами по СНиП II-3-79,а также для изготовления декоративных и звукопоглощающих изделий.56л/палетта,,,,,,,,,,,,,,
Б0000950;ГКЛ 12.5мм (1200х2500) 52шт \Декоратор\;Гипсокартон и Комплектующие;Гипсокартон;;235,00;235,"00;40;;;""лист"";gstandart1300;0;",,,,,,,,,,,,,,,,,,,,
Б0000037;ГКЛВ  9.5мм (1.2х2.5м) \Кнауф\;Гипсокартон и Комплектующие;Гипсокартон;;320,00;320,"00;0.01;;;""лист"";sd_00127;0;Применяется для устройства легких межкомнатных перегородок",подвесных потолков,облицовки стен и огнезащиты конструкций,а также в зданиях и помещениях с влажным и мокрым влажностными режимами по СНиП II-3-79* с обеспечением вытяжной вентиляцией и при условии защиты лицевой поверхности,например: гидроизоляцией,водостойкими грунтовками,красками,керамической плиткой,покрытиями из полихлорвинила.,,,,,,,,,,,,
Б0001623;ГКЛВ  9.5мм (1200х2500) 66шт \Декоратор\;Гипсокартон и Комплектующие;Гипсокартон;;289,75;283,"65;23;;;""лист"";g_vlaga_1_300;0;Применяется для устройства легких межкомнатных перегородок",подвесных потолков,облицовки стен и огнезащиты конструкций,а также в зданиях и помещениях с влажным и мокрым влажностными режимами по СНиП II-3-79* с обеспечением вытяжной вентиляцией и при условии защиты лицевой поверхности,например: гидроизоляцией,водостойкими грунтовками,красками,керамической плиткой,покрытиями из полихлорвинила.,,,,,,,,,,,,
Б0000036;ГКЛВ 12.5мм (1,2х2,5м) \Кнауф\;Гипсокартон и Комплектующие;Гипсокартон;;351,00;351,"00;0.01;;;""лист"";sd_00127;0;Применяется для устройства легких межкомнатных перегородок",подвесных потолков,облицовки стен и огнезащиты конструкций,а также в зданиях и помещениях с влажным и мокрым влажностными режимами по СНиП II-3-79* с обеспечением вытяжной вентиляцией и при условии защиты лицевой поверхности,например: гидроизоляцией,водостойкими грунтовками,красками,керамической плиткой,покрытиями из полихлорвинила.,,,,,,,,,,
Б0001624;ГКЛВ 12.5мм (1200х2500) 52шт \Декоратор\;Гипсокартон и Комплектующие;Гипсокартон;;330,00;330,"00;34;;;""лист"";g_vlaga_1_300;0;Применяется для устройства легких межкомнатных перегородок",подвесных потолков,облицовки стен и огнезащиты конструкций,а также в зданиях и помещениях с влажным и мокрым влажностными режимами по СНиП II-3-79* с обеспечением вытяжной вентиляцией и при условии защиты лицевой поверхности,например: гидроизоляцией,водостойкими грунтовками,красками,керамической плиткой,покрытиями из полихлорвинила.,,,,,,,,,,,,
Б0000233;Подвес прямой П60 (толщина 0,8мм);Гипсокартон и Комплектующие;Профиль для гипсокартона;;3,71;3,"63;2770;;;""шт"";podves;0;Предназначен для закрепления (подвески) потолочных профилей к несущим конструкциям. Закрепляется на базовом основании анкерным элементом (ж/б потолок) или дюбелем (стена). Потолочный профиль ПП 60/27 крепится к подвесу шурупами.",,,,,,,,,,,,,,,,,,,
